Year,Pop,AGR
1950,13743069,
1951,14085724,2.49
1952,14485745,2.84
1953,14901525,2.87
1954,15323201,2.83
1955,15733923,2.68
1956,16167047,2.75
1957,16650052,2.99
1958,17113389,2.78
1959,17524906,2.4
1960,17909356,2.19
1961,18273684,2.03
1962,18622345,1.91
1963,18971005,1.87
1964,19326326,1.87
1965,19688805,1.88
1966,20055232,1.86
1967,20408050,1.76
1968,20731929,1.59
1969,21033940,1.46
1970,21434577,1.9
1971,21888679,2.12
1972,22222221,1.52
1973,22502029,1.26
1974,22812432,1.38
1975,23136252,1.42
1976,23442114,1.32
1977,23715308,1.17
1978,23962690,1.04
1979,24219124,1.07
1980,24511510,1.21
1981,24815786,1.24
1982,25101518,1.15
1983,25360726,1.03
1984,25602075,0.95
1985,25843922,0.94
1986,26116071,1.05
1987,26436889,1.23
1988,26815064,1.43
1989,27244406,1.6
1990,27657204,1.52
1991,28015761,1.3
1992,28347641,1.18
1993,28668166,1.13
1994,28981189,1.09
1995,29289423,1.06
1996,29593849,1.04
1997,29882752,0.98
1998,30144812,0.88
1999,30399778,0.85
2000,30683313,0.93
2001,31002763,1.04
2002,31322398,1.03
2003,31619450,0.95
2004,31911668,0.92
2005,32215916,0.95
2006,32531867,0.98
2007,32862459,1.02
2008,33218541,1.08
2009,33593917,1.13
2010,33963412,1.1
2011,34323531,1.06
2012,34691878,1.07
2013,35063691,1.07
2014,35404608,0.97
2015,35732126,0.93
2016,36113532,1.07
2017,36554348,1.22
2018,37035254,1.32
2019,37522584,1.32
2020,37888705,0.98
2021,38155012,0.7
2022,38454327,0.78
